# All
"Example","样例"

# Settings table
"Subversion authorization","Subversion 授权相关"
"Subversion Web URL","SVN网站链接"
"Subversion authorization file","Subversion 授权文件"
"Data providers","数据提供方相关"
"User authentication","用户身份验证"
"User authentication file (SVNUserFile)","用户身份验证文件 (SVNUserFile)"
"Subversion settings","Subversion 设置相关"
"Parent directory of the repositories (SVNParentPath)","代码仓库的父目录 (SVNParentPath)"
"Subversion client executable","'svn.exe' 或 'svn'可执行文件："
"Subversion admin executable","'svnadmin.exe' 或 'svnadmin' 可执行文件："
"LDAP connection information","LDAP 连接信息相关"
"Host address","LDAP主机地址 "
"Protocol version","LDAP 协议版本"
"LDAP user provider information","LDAP 用户信息相关 "
"LDAP group provider information","LDAP 用户组信息相关"
"The URL no need '/svn/', if you SVN URL like this: http://svnadmin.insanefactory.com:8088/svn/testrepo/, you can input like this:http://svnadmin.insanefactory.com:8088/","SVN链接不需要包含'/svn/'字符,如果你的SVN地址类似'http://svnadmin.insanefactory.com:8088/svn/testrepo/',此处请填写'http://svnadmin.insanefactory.com:8088/'"
"The SVN URl should ends with '/'. for example: http://svnadmin.insanefactory.com:8088/","SVN链接应以'/'结尾,'http://'或'https://'开头. 例如: http://svnadmin.insanefactory.com:8088/"
"The SVN URL not exist.","SVN链接不存. SVN链接应以'/'结尾,'http://'或'https://'开头. 例如: http://svnadmin.insanefactory.com:8088/"

# No users, no edit provider
"You have not defined an "UserEditProviderType", but the system also could not find any user from the configured user view provider.","您并未定义 "UserEditProviderType" . 且系统未从用户数据提供方 发现任何用户 ."
"You should now create a new user in your configured backend (e.g.: LDAP/Active Directory).","您现在应该在您的配置文件中添加一个新的用户 (例如: LDAP/Active Directory)."
"If you think your configuration is incorrect, <a href="settings.php?firststart=1">click here.</a>","如果认为您的配置有误，请单击 <a href="settings.php?firststart=1">.</a>"

# Define administrator
"Could not find existing users with your configuration. Created default Administrator account.","未从您的配置文件中找到用户，创建一个默认的Admin帐户."
"You can <a href="login.php"><b>login now.</b></a>"," <a href="login.php"><b>登录.</b></a>"
"No administrator defined! Select the user for the administator privileges, please.","并无权限！请配置用户的admin权限"
"Save","保存"
"Could not save configuration. You should check the file permissions.","无法保存配置文件，请检查配置文件权限"
"The file exists but is not writable.","文件存在，但不可写"
"Test passed.","测试通过"
"The file does not exist.","文件不存在"
"Connection failed:","连接失败:"
"PHP LDAP extension is not available.","PHP LDAP扩展不可用"
"ERROR: Can not assign user to role.","错误: 无法给该角色分配用户"
"The user has been defined as admin. You can <a href="login.php">login</a> now.","该用户已经被定义为admin，你访问<a href="login.php">登陆</a>进行登陆"
"ERROR: Can not add user.","错误: 不能增加用户"
"ERROR: Can not save changes.","错误: 不能保存修改"
"ERROR: Can not assign Administrator role.","错误: 不能分配管理员角色"
"You have to define a user view provider.","您必须定义一个用户视图提供程序"
"Save configuration","保存配置"
"Test","测试"
"User view provider type:","用户视图提供方类型:"
"User edit provider type:","用户编辑提供方类型:"
"Group view provider type:","组视图提供方类型:"
"Group edit provider type:","组编辑提供方类型:"
"Repository view provider type:","仓库视图提供方类型:"
"Repository edit provider type:","仓库编辑提供方类型:"
"Test","测试"
"Done.","完成"
"Define administrator","定义administrator管理员账户"

